Postcode,Sale or Let,Price Qualifier,DESC Council Tax Band,RTD3316_condition1 - Condition Description,# of Enquiry or viewings,# of Apps/Offers
517,1,4,1,0,32,12
122,1,2,3,0,14,4
613,1,2,4,0,10,2
61,1,7,1,0,9,1
266,1,6,1,0,1,2
592,0,3,4,0,0,4
588,0,3,0,0,0,5
589,0,3,1,0,0,2
593,0,3,0,0,0,0
593,0,3,0,0,0,0
324,1,7,0,0,0,0
591,0,3,1,0,0,6
649,0,3,2,0,0,2
896,1,2,1,0,0,5
648,1,6,2,0,0,1
650,0,3,1,0,0,2
433,1,7,0,0,0,1
451,1,6,0,2,0,1
210,0,3,4,0,0,2
206,0,3,2,0,0,0
208,0,3,4,0,0,2
205,0,3,3,0,0,1
207,0,3,3,0,0,4
203,0,3,1,0,0,1
209,0,3,1,0,0,2
204,0,3,3,0,0,1
662,0,3,1,0,0,5
581,0,3,3,0,0,1
584,0,3,2,0,0,2
583,0,3,4,0,0,0
586,0,3,2,0,0,3
585,1,4,2,0,0,1
582,0,3,1,0,0,7
165,0,3,1,0,0,3
19,0,3,1,0,0,3
469,1,7,2,0,0,1
468,1,2,2,0,0,2
465,1,4,1,0,0,3
466,1,2,2,0,0,0
461,1,4,0,0,0,2
462,1,2,3,0,0,3
467,1,7,2,0,0,0
458,1,2,0,2,0,0
454,0,3,4,2,0,2
528,1,7,4,2,0,1
459,1,4,1,0,0,0
460,1,7,4,0,0,4
659,0,3,1,0,0,4
464,0,3,1,0,0,0
464,0,3,1,0,0,0
847,1,2,3,0,0,1
845,1,2,3,0,0,0
846,0,3,1,0,0,6
841,1,7,1,0,0,2
823,0,3,1,0,0,6
815,0,3,3,0,0,3
834,1,7,3,2,0,2
820,1,7,1,2,0,1
843,1,2,3,2,0,4
836,1,7,2,0,0,3
848,1,7,2,0,0,8
832,1,7,2,0,0,1
853,1,7,5,0,0,0
856,1,7,1,0,0,1
810,0,3,1,0,0,7
808,1,2,1,0,0,3
844,1,2,3,0,0,1
837,1,7,1,0,0,2
849,0,3,2,0,0,3
809,0,3,1,0,0,1
818,1,7,1,0,0,3
833,1,7,3,0,0,3
835,1,7,2,0,0,2
812,1,2,2,0,0,0
851,1,2,1,0,0,1
807,1,7,1,0,0,0
