Postcode,Sale or Let,Price Qualifier,DESC Council Tax Band,RTD3316_condition1 - Condition Description,# of Enquiry or viewings,# of Apps/Offers
1595,1,4,1,0,32,12
389,1,2,3,0,14,4
2185,1,2,4,0,10,2
196,1,7,1,0,9,1
998,1,6,1,0,1,2
2028,0,3,4,0,0,4
2021,0,3,0,0,0,5
2023,0,3,1,0,0,2
2030,0,3,0,0,0,0
2030,0,3,0,0,0,0
1095,1,7,0,0,0,0
2026,0,3,1,0,0,6
2343,0,3,2,0,0,2
2916,1,2,1,0,0,5
2340,1,6,2,0,0,1
2344,0,3,1,0,0,2
1411,1,7,0,0,0,1
1469,1,6,0,2,0,1
797,0,3,4,0,0,2
784,0,3,2,0,0,0
793,0,3,4,0,0,2
777,0,3,3,0,0,1
792,0,3,3,0,0,4
775,0,3,1,0,0,1
794,0,3,1,0,0,0
794,0,3,1,0,0,2
776,0,3,3,0,0,1
2398,0,3,1,0,0,5
1983,0,3,3,0,0,1
1997,0,3,2,0,0,2
1990,0,3,4,0,0,0
2002,0,3,2,0,0,3
2000,1,4,2,0,0,1
1988,0,3,1,0,0,7
544,0,3,1,0,0,3
83,0,3,1,0,0,3
1518,1,7,2,0,0,1
1517,1,2,2,0,0,2
1508,1,4,1,0,0,3
1515,1,2,2,0,0,0
1502,1,4,0,0,0,2
1504,1,2,3,0,0,3
1516,1,7,2,0,0,0
1493,1,2,0,2,0,0
1483,0,3,4,2,0,2
1618,1,7,4,2,0,1
1495,1,4,1,0,0,0
1501,1,7,4,0,0,4
2376,0,3,1,0,0,4
1506,0,3,1,0,0,0
1506,0,3,1,0,0,0
2774,1,2,3,0,0,1
2772,1,2,3,0,0,0
2773,0,3,1,0,0,6
2763,1,7,1,0,0,2
2742,0,3,1,0,0,6
2729,0,3,3,0,0,3
2756,1,7,3,2,0,2
2736,1,7,1,2,0,1
2769,1,2,3,2,0,4
2758,1,7,2,0,0,3
2776,1,7,2,0,0,8
2754,1,7,2,0,0,1
2781,1,7,5,0,0,0
2785,1,7,1,0,0,1
2723,0,3,1,0,0,7
2721,1,2,1,0,0,3
2771,1,2,3,0,0,1
2759,1,7,1,0,0,2
2777,0,3,2,0,0,3
2722,0,3,1,0,0,1
2732,1,7,1,0,0,3
2755,1,7,3,0,0,3
2757,1,7,2,0,0,2
2726,1,2,2,0,0,0
2779,1,2,1,0,0,1
2720,1,7,1,0,0,0
2786,1,2,2,0,0,2
2728,1,7,1,0,0,3
2725,1,7,1,0,0,3
2780,1,7,2,0,0,0
2772,1,7,3,0,0,0
2789,0,3,5,0,0,6
2778,1,7,4,0,0,1
2761,1,7,4,0,0,2
2762,1,2,3,0,0,1
2760,1,7,3,0,0,3
2784,1,7,2,0,0,1
2765,1,4,2,2,0,18
496,1,7,0,0,0,2
441,1,7,1,0,0,6
491,0,3,0,0,0,8
490,1,7,2,0,0,0
492,1,7,0,0,0,5
96,1,7,0,3,0,0
96,1,7,0,3,0,0
542,1,7,3,0,0,5
496,1,7,0,0,0,1
487,1,7,0,0,0,3
440,1,7,0,0,0,2
1386,0,3,1,0,0,1
1104,1,4,0,2,0,2
487,0,3,0,0,0,1
486,1,2,0,2,0,1
2305,1,2,0,0,0,1
2308,1,7,1,0,0,2
2338,1,2,0,0,0,4
54,1,7,3,0,0,0
50,1,7,0,0,0,6
52,1,7,1,0,0,1
2472,1,6,2,0,0,0
33,1,7,2,0,0,3
34,1,7,2,0,0,0
35,0,3,1,0,0,1
2473,0,3,1,0,0,2
37,1,6,1,0,0,2
53,1,7,2,0,0,0
2466,1,7,2,0,0,1
2469,0,3,1,0,0,0
2241,0,3,5,0,0,2
104,1,4,3,0,0,0
121,1,7,0,2,0,3
118,0,3,0,0,0,4
134,1,2,4,0,0,0
106,0,3,1,2,0,2
116,0,3,0,0,0,1
119,0,3,0,0,0,4
135,0,3,0,0,0,1
115,1,2,0,0,0,1
111,0,3,0,0,0,3
120,1,6,1,0,0,3
114,1,6,1,0,0,7
90,1,2,2,0,0,1
124,0,3,0,0,0,3
2565,1,7,0,0,0,4
2565,1,7,0,0,0,3
2984,0,3,3,0,0,1
2920,0,3,1,0,0,6
2990,0,3,5,0,0,3
2932,1,6,3,0,0,2
2920,0,3,1,0,0,4
2962,0,3,1,0,0,0
2962,1,6,1,0,0,3
1594,1,0,2,0,0,4
1614,0,3,2,0,0,3
1567,1,2,1,0,0,0
1584,0,3,3,0,0,1
1536,0,3,2,0,0,1
1558,1,7,1,0,0,0
1540,1,4,2,0,0,0
1575,1,4,2,0,0,0
425,1,7,1,0,0,4
2384,1,7,1,3,0,1
2386,1,6,3,0,0,0
2616,0,3,0,0,0,1
2660,0,3,0,0,0,4
2623,1,7,1,0,0,0
2648,0,3,0,0,0,3
2659,0,3,0,0,0,1
2663,0,3,0,0,0,1
2631,0,3,0,0,0,2
2661,0,3,0,0,0,1
2635,1,4,0,0,0,2
2676,0,3,1,0,0,0
2683,0,3,0,0,0,2
2655,0,3,1,0,0,2
2652,0,3,0,0,0,1
2645,1,4,3,0,0,4
2638,1,7,1,0,0,1
2615,1,4,2,0,0,2
337,0,3,4,0,0,4
2667,0,3,0,0,0,4
2675,0,3,1,0,0,1
2651,0,3,1,0,0,1
2644,1,7,0,0,0,1
2622,1,2,0,1,0,0
2636,1,7,1,0,0,0
2633,1,4,3,0,0,0
338,0,3,0,0,0,2
2621,0,3,0,0,0,7
2664,0,3,0,0,0,3
2618,0,3,0,0,0,3
2680,0,3,0,0,0,1
2617,0,3,0,0,0,3
2641,0,3,1,0,0,1
2654,0,3,0,0,0,1
2619,0,3,0,0,0,1
2636,0,3,1,0,0,1
2669,1,4,1,0,0,3
2687,1,2,1,3,0,0
2646,1,4,0,1,0,6
2640,1,7,1,0,0,1
2682,0,3,0,0,0,2
2666,0,3,0,0,0,2
2688,1,4,2,2,0,1
2630,0,3,0,0,0,1
2632,0,3,1,0,0,2
2656,1,7,0,2,0,2
2620,0,3,0,0,0,1
2668,0,3,0,0,0,1
2639,1,4,1,0,0,2
2674,0,3,0,0,0,3
2670,1,4,0,3,0,2
339,1,2,6,0,0,0
2689,1,4,3,0,0,1
2662,1,7,0,0,0,1
2665,0,3,0,0,0,1
2684,0,3,0,0,0,3
2677,0,3,0,0,0,2
2657,1,4,2,3,0,1
2686,0,3,2,0,0,1
2637,0,3,2,0,0,1
2634,1,4,0,0,0,1
2652,0,3,0,0,0,2
2891,1,7,2,0,0,0
2897,1,5,0,0,0,1
2896,0,3,2,0,0,0
2886,1,6,1,0,0,1
2867,1,5,1,0,0,2
2910,1,7,2,0,0,1
2900,1,4,3,0,0,4
2899,1,2,2,2,0,1
2894,1,7,3,0,0,2
2888,1,2,0,2,0,2
2879,1,6,2,0,0,1
2890,1,7,0,0,0,1
2900,1,7,3,0,0,1
2880,1,7,1,0,0,1
2890,1,4,0,0,0,1
2870,1,7,4,0,0,1
403,0,3,1,0,0,4
423,1,6,2,0,0,6
307,1,4,1,2,0,5
303,1,4,0,2,0,2
288,1,4,0,2,0,4
283,1,4,0,2,0,5
409,1,2,4,0,0,1
379,0,3,3,0,0,2
373,0,3,1,0,0,2
406,1,4,4,0,0,0
302,1,4,1,2,0,3
287,1,4,1,3,0,2
394,0,3,2,0,0,1
376,0,3,2,0,0,2
374,1,4,3,1,0,5
402,1,4,2,0,0,1
414,0,3,3,0,0,1
421,1,4,3,0,0,0
288,1,4,0,2,0,1
405,0,3,1,0,0,1
416,1,2,2,0,0,0
396,1,4,4,0,0,2
414,0,3,3,0,0,0
2804,1,4,5,0,0,0
404,1,4,4,0,0,1
2805,1,2,4,0,0,0
754,0,3,1,0,0,1
742,0,3,3,0,0,1
751,1,2,3,0,0,0
749,0,3,1,0,0,6
771,0,3,3,0,0,1
755,0,3,4,0,0,1
756,0,3,1,0,0,1
745,0,3,0,0,0,0
761,0,3,2,0,0,5
770,1,2,1,0,0,4
743,0,3,0,0,0,1
748,0,3,1,0,0,1
756,0,3,1,0,0,1
749,0,3,1,0,0,0
749,0,3,1,0,0,2
764,1,7,3,3,0,3
770,1,2,1,0,0,7
768,0,3,2,0,0,2
757,1,2,2,0,0,4
746,0,3,3,0,0,1
744,0,3,0,0,0,1
763,0,3,0,0,0,0
2452,1,4,2,0,0,0
2455,1,2,5,0,0,2
2443,1,4,3,0,0,4
2449,1,4,4,0,0,3
2442,0,3,4,0,0,1
2456,1,2,5,0,0,2
2445,1,4,3,0,0,0
2440,1,4,4,0,0,7
2461,1,2,3,0,0,3
2457,1,4,3,0,0,5
2442,1,4,4,0,0,3
2854,1,4,2,0,0,1
2861,0,3,3,0,0,0
1183,0,3,3,0,0,1
1184,0,3,3,0,0,3
1192,0,3,3,0,0,4
1185,0,3,4,0,0,4
2838,1,2,3,0,0,1
2836,1,2,6,0,0,0
2835,0,3,3,0,0,4
835,0,3,2,0,0,2
2855,1,4,2,0,0,1
214,1,4,1,0,0,5
207,1,6,0,0,0,6
2811,0,3,0,0,0,4
2815,0,3,1,0,0,4
2816,0,3,0,0,0,6
166,1,0,5,0,0,1
1422,1,0,3,0,0,6
1424,1,0,4,0,0,9
2713,0,3,4,0,0,0
2372,0,3,3,0,0,1
2708,0,3,0,0,0,0
1357,0,3,2,0,0,9
1372,1,4,2,0,0,3
1316,1,4,0,0,0,1
1360,0,3,1,0,0,2
939,0,3,2,0,0,0
2921,0,3,2,0,0,6
2920,0,3,1,0,0,3
2938,0,3,1,0,0,4
2978,0,3,1,0,0,2
2979,0,3,2,0,0,3
2919,0,3,0,0,0,9
2917,0,3,3,0,0,4
1402,0,3,1,0,0,1
1469,0,3,0,2,0,0
2347,0,3,0,0,0,4
192,1,7,2,0,0,0
893,0,3,3,0,0,4
3001,1,4,4,0,0,1
894,0,3,2,0,0,1
3000,1,6,3,0,0,0
3004,1,6,3,2,0,0
3005,0,3,1,0,0,1
856,1,7,3,2,0,1
2595,1,7,3,0,0,0
2560,1,2,0,0,0,0
2557,1,2,1,0,0,0
2556,1,4,0,0,0,0
2553,1,4,0,0,0,1
2550,1,2,2,0,0,0
180,1,2,0,0,0,0
252,1,2,1,0,0,0
246,1,7,0,2,0,1
1234,0,3,3,0,0,1
1209,1,4,2,0,0,2
1233,0,3,1,0,0,2
1202,1,2,1,2,0,5
1213,0,3,2,0,0,2
1205,0,3,1,0,0,1
2818,1,4,1,0,0,2
2807,0,3,2,0,0,1
2822,0,3,0,0,0,2
2827,1,2,1,0,0,0
2810,1,4,0,0,0,1
2814,1,7,2,3,0,1
2832,1,2,3,0,0,0
2820,1,4,2,0,0,4
2821,1,4,3,0,0,1
2831,0,3,0,0,0,3
