bedroom number,kitchen number,living number,bathroom number,dining number,other number,other area
2,1,1,1,1,3,0.0
3,1,0,2,1,3,0.0
3,1,1,0,1,2,17.2
3,1,1,1,1,4,19.5
3,1,0,0,1,8,36.9
4,1,1,1,2,9,20.4
2,1,1,1,1,4,6.0
2,1,1,1,1,1,0.0
2,1,1,1,1,2,0.0
2,1,1,1,1,2,0.0
3,1,0,0,1,8,13.5
1,1,1,0,1,2,3.6
3,1,1,1,1,3,4.4
4,1,0,1,0,5,40.3
4,1,0,2,2,5,30.099999999999998
2,1,0,1,1,4,25.5
2,1,0,1,0,4,32.3
3,1,1,1,0,1,0.0
4,1,1,1,1,2,0.0
4,2,1,2,1,6,0.0
3,1,1,2,1,6,8.0
3,1,0,2,1,3,91.0
4,1,1,2,1,3,19.6
2,1,0,1,1,2,0.0
3,1,0,1,0,3,22.3
3,1,0,0,1,4,22.3
4,1,0,0,1,5,45.4
1,1,0,1,0,1,15.5
3,1,1,1,1,7,20.5
3,1,2,1,1,1,0.0
4,1,0,1,1,7,40.0
3,1,0,1,1,4,26.9
3,1,0,1,1,6,49.7
3,1,0,1,1,5,22.0
2,1,0,1,1,5,0.0
2,1,1,1,0,5,15.5
3,1,0,0,1,2,23.2
3,1,0,1,1,1,14.4
4,1,0,0,1,4,18.0
3,1,0,1,1,1,0.0
1,0,0,1,1,0,0.0
3,1,0,0,1,3,39.199999999999996
3,1,1,0,0,1,0.0
1,1,0,1,0,1,16.7
4,1,0,0,1,2,38.1
3,1,0,2,1,3,16.3
2,1,0,1,1,1,12.5
3,1,0,1,1,9,381.3
1,1,0,1,0,2,14.4
2,1,0,1,1,0,0.0
2,1,0,1,0,1,17.5
3,1,1,1,1,7,15.8
3,1,1,1,0,4,32.3
4,1,1,1,0,5,28.4
4,1,1,1,1,5,15.2
2,1,1,1,1,2,0.0
3,1,1,1,1,6,14.3
4,1,1,2,1,5,25.2
3,1,1,1,1,3,0.0
3,1,1,2,1,6,0.0
3,1,1,1,1,3,15.0
3,1,1,1,1,5,9.8
2,1,0,1,1,1,15.9
5,1,1,1,1,8,59.1
3,1,1,1,1,3,2.9
3,1,1,1,0,3,7.5
2,1,1,1,1,5,24.8
3,1,1,1,1,7,22.9
3,1,1,1,1,6,25.4
3,1,1,2,1,3,13.0
2,1,1,1,1,1,0.0
2,1,1,2,1,3,0.0
3,1,1,1,1,5,33.0
3,1,1,2,1,6,36.2
3,1,1,2,1,4,15.8
2,1,1,1,0,2,0.0
3,1,1,1,1,3,0.0
2,1,1,1,1,3,0.0
3,1,1,1,0,6,7.0
3,1,1,1,1,5,14.5
3,1,1,1,0,4,23.3
3,1,1,1,0,4,32.3
2,1,1,1,1,5,11.7
4,1,1,2,1,6,60.5
4,1,1,1,1,8,49.0
3,1,1,1,1,5,26.6
5,1,1,2,1,6,45.5
3,1,1,2,1,5,8.7
3,1,1,2,1,2,0.0
2,1,1,1,1,4,0.0
4,1,0,1,1,6,19.5
3,1,1,1,1,1,0.0
3,1,0,1,1,5,14.7
3,1,0,1,1,2,15.5
2,1,1,1,1,0,0.0
2,1,1,1,1,0,0.0
4,1,2,1,1,5,41.5
2,1,2,1,1,4,0.0
